corp_code,corp_name,year,quarter,매출액,영업이익,순이익,영업현금흐름,수주잔고,수주잔고_증감
01236286,컬러레이,2024,1Q,40649380.0,-5102762.0,-5393938.0,43156429.0,0.0,0.0
01236286,컬러레이,2024,2Q,62826669.0,8511766.0,19723175.0,77396611.0,0.0,0.0
01236286,컬러레이,2024,3Q,57292011.0,-2267814.0,-8305546.0,37080064.0,0.0,0.0
01236286,컬러레이,2024,4Q,241237069.0,987133.0,4394140.0,43493138.0,0.0,0.0
01236286,컬러레이,2025,1Q,60123981.0,4134566.0,1753837.0,28373371.0,0.0,0.0
01236286,컬러레이,2025,2Q,56489330.0,1985107.0,3229262.0,25337723.0,0.0,0.0
01236286,컬러레이,2025,3Q,70204766.0,2627945.0,1265209.0,28359274.0,0.0,0.0
00186939,특수건설,2024,1Q,57280938466.0,926190508.0,744511178.0,-20332830309.0,12550854179.0,0.0
00186939,특수건설,2024,2Q,50406386492.0,1031537299.0,35055746.0,-7871654492.0,14872030843.0,2321176664.0
00186939,특수건설,2024,3Q,49551556434.0,1327081863.0,104355735.0,-11606940495.0,6495885252.0,-8376145591.0
00186939,특수건설,2024,4Q,212529706481.0,8752187155.0,5391687825.0,-5793259903.0,6795335058.0,299449806.0
00186939,특수건설,2025,1Q,45860440228.0,652553838.0,16719668274.0,-1536712672.0,2728073901.0,-4067261157.0
00186939,특수건설,2025,2Q,48188637973.0,-20445194.0,-745497954.0,17681661538.0,15775543783.0,13047469882.0
00186939,특수건설,2025,3Q,40655698590.0,-3937853523.0,-4487516940.0,7981006419.0,17838202192.0,2062658409.0
01169434,오가닉티코스메틱,2024,1Q,139132019.0,-41169126.0,-41849004.0,408774080.0,0.0,0.0
01169434,오가닉티코스메틱,2024,2Q,206758700.0,-119762465.0,-110900120.0,253251400.0,0.0,0.0
01169434,오가닉티코스메틱,2024,3Q,270840531.0,-133410129.0,0.0,327788335.0,0.0,0.0
01169434,오가닉티코스메틱,2024,4Q,870730681.0,-340461210.0,-251018328.0,-186936046.0,0.0,0.0
01169434,오가닉티코스메틱,2025,1Q,157342220.0,-48769884.0,-47200529.0,354580008.0,0.0,0.0
01169434,오가닉티코스메틱,2025,2Q,234009193.0,-95380132.0,-174135627.0,237526523.0,0.0,0.0
01169434,오가닉티코스메틱,2025,3Q,234456983.0,-142114095.0,-126757087.0,332101001.0,0.0,0.0
00163691,유수홀딩스,2024,1Q,97074742738.0,5106919564.0,7601703952.0,-7346728863.0,0.0,0.0
00163691,유수홀딩스,2024,2Q,103757637683.0,5930503719.0,9925536010.0,-2911320237.0,0.0,0.0
00163691,유수홀딩스,2024,3Q,124210818126.0,8886359019.0,3862863851.0,-9730231499.0,0.0,0.0
00163691,유수홀딩스,2024,4Q,435867054050.0,18315439948.0,31644811581.0,4592321219.0,0.0,0.0
00163691,유수홀딩스,2025,1Q,107678581430.0,6503801026.0,3935747329.0,8759924652.0,0.0,0.0
00163691,유수홀딩스,2025,2Q,102451921634.0,6704764665.0,1386258977.0,13502745174.0,0.0,0.0
00163691,유수홀딩스,2025,3Q,105132503496.0,11163919542.0,12225010135.0,26287155966.0,0.0,0.0
00133663,세동,2024,1Q,43342623621.0,2974700882.0,3004373927.0,2262040489.0,0.0,0.0
00133663,세동,2024,2Q,41529197864.0,2663864640.0,-6682252235.0,3339920847.0,0.0,0.0
00133663,세동,2024,3Q,37890225291.0,1507590144.0,495835204.0,2224091005.0,0.0,0.0
00133663,세동,2024,4Q,171088252415.0,10712273142.0,-1152315260.0,-1460977678.0,0.0,0.0
00133663,세동,2025,1Q,41951431682.0,2076294772.0,3069078123.0,12195390573.0,0.0,0.0
00133663,세동,2025,2Q,46189050377.0,3086706144.0,1685184228.0,18305391812.0,0.0,0.0
00133663,세동,2025,3Q,45153773641.0,2433090817.0,3209887794.0,21132744694.0,0.0,0.0
00132318,성광벤드,2024,1Q,57168377134.0,9890994975.0,0.0,11011037419.0,0.0,0.0
00132318,성광벤드,2024,2Q,66887367076.0,20366297119.0,0.0,32673236873.0,0.0,0.0
00132318,성광벤드,2024,3Q,45396783922.0,7809920905.0,0.0,35825003542.0,0.0,0.0
00132318,성광벤드,2024,4Q,227683121973.0,41988089482.0,41007522794.0,28505363666.0,0.0,0.0
00132318,성광벤드,2025,1Q,63698885259.0,10745231359.0,0.0,-5965084447.0,0.0,0.0
00132318,성광벤드,2025,2Q,58108547980.0,10770220498.0,0.0,-1164393037.0,0.0,0.0
00132318,성광벤드,2025,3Q,64561382389.0,11730562117.0,0.0,18410908987.0,0.0,0.0
00799070,이스트아시아홀딩스,2024,1Q,66269448.0,475530.0,1510147.0,42372771.0,0.0,0.0
00799070,이스트아시아홀딩스,2024,2Q,105463221.0,14952188.0,12705348.0,60039927.0,0.0,0.0
00799070,이스트아시아홀딩스,2024,3Q,92877710.0,8511816.0,8802376.0,45528203.0,0.0,0.0
00799070,이스트아시아홀딩스,2024,4Q,391629664.0,42753918.0,27391681.0,57758327.0,0.0,0.0
00799070,이스트아시아홀딩스,2025,1Q,65341422.0,2634356.0,2929769.0,30591807.0,0.0,0.0
00799070,이스트아시아홀딩스,2025,2Q,86352218.0,10504036.0,10734625.0,41659863.0,0.0,0.0
00799070,이스트아시아홀딩스,2025,3Q,92074298.0,17119666.0,15162748.0,15410197.0,0.0,0.0
00260392,대원전선,2024,1Q,130511544809.0,3027041826.0,2246708836.0,11470582302.0,0.0,0.0
00260392,대원전선,2024,2Q,151795374467.0,4003889657.0,-564752464.0,-14252918467.0,0.0,0.0
00260392,대원전선,2024,3Q,133193833541.0,5289039176.0,3975773761.0,-7818035439.0,0.0,0.0
00260392,대원전선,2024,4Q,552777321378.0,14338544095.0,6794390393.0,4005645413.0,0.0,0.0
00260392,대원전선,2025,1Q,151266934457.0,8325862637.0,8452127390.0,-29831754007.0,0.0,0.0
00260392,대원전선,2025,2Q,151419534768.0,5395602351.0,3198265169.0,-29551348400.0,0.0,0.0
00260392,대원전선,2025,3Q,154792176129.0,1106630284.0,769284485.0,-34850492378.0,0.0,0.0
